100,5
101,00
101,50
102,01
102,52
103,03
103,55
104,07
104,59
105,11
105,64
106,17
106,70
107,23
107,77
108,31
108,85
109,39
109,94
110,49
111,04
111,60
112,16
112,72
113,28
113,85
114,42
114,99
115,56
116,14
116,72
117,30
117,89
118,48
119,07
119,67
120,27
120,87
121,47
122,08
122,69
123,30
123,92
124,54
125,16
125,79
126,42
127,05
127,69
128,33
128,97
129,61
130,26
130,91
131,56
132,22
132,88
133,54
134,21
134,88
135,55
136,23
136,91
137,59
138,28
138,97
139,66
140,36
141,06
141,77
142,48
143,19
143,91
144,63
145,35
146,08
146,81
147,54
148,28
149,02
149,77
150,52
151,27
152,03
152,79
153,55
154,32
155,09
155,87
156,65
157,43
158,22
159,01
159,81
160,61
161,41
162,22
163,03
163,85
164,67
165,49
166,32
167,15
167,99
168,83
169,67
170,52
171,37
172,23
173,09
173,96
174,83
175,70
176,58
177,46
178,35
179,24
180,14
181,04
181,95
